"items__track","items__episode__episodeName","items__episode__showName","items__episode__episodeUri","name","lastModifiedDate","items__track__trackName","items__track__artistName","items__track__albumName","items__track__trackUri","items__episode","items__localTrack__uri","items__localTrack","items__addedDate","description","numberOfFollowers"
"","","","","✨✨","2022-09-19","Me Namora","Gabriel Elias","4 Estações","spotify:track:0CZS3nJGpSyas7dVEs2lXK","null","","null","2022-09-18","null","0"
"","","","","","","O Amor é o Segredo","Vitor Kley","A Bolha","spotify:track:7tOXo8dzQYKgWHWB9nxBVg","null","","null","2022-09-18","",""
"","","","","","","Trem-Bala","Ana Vilela","Trem-Bala","spotify:track:05QeyKGAn4TZrv41tMiD1A","null","","null","2022-09-18","",""
"","","","","","","Eu Te Amo - Voz E Violão","Bryan Behr","Simples","spotify:track:4U9eZDj53JgPJxnEMZjd0h","null","","null","2022-09-18","",""
"","","","","","","O Sol","Vitor Kley","Adrenalizou","spotify:track:1j5N75y26nH2l0uPa9JlKe","null","","null","2022-09-18","",""
"","","","","","","A Gente Nunca Conversou (Ei Moça)","Lagum","A Gente Nunca Conversou (Ei Moça)","spotify:track:7eRhMBRHhmRA7VvWLVIMyO","null","","null","2022-09-18","",""
"","","","","","","The Scientist","Coldplay","A Rush of Blood to the Head","spotify:track:75JFxkI2RXiU7L9VXzMkle","null","","null","2022-09-18","",""
"","","","","","","Demons","Imagine Dragons","Night Visions","spotify:track:5qaEfEh1AtSdrdrByCP7qR","null","","null","2022-09-18","",""
"","","","","","","Viva La Vida - Live","Coldplay","Live 2012","spotify:track:5ZV67iTfNpW3ueMCELLiSX","null","","null","2022-09-18","",""
"","","","","","","Chega","Gabriel O Pensador","Chega","spotify:track:6R23hoUfJ956U4lO7RWon7","null","","null","2022-09-18","",""
"","","","","","","Trevo (Tu)","ANAVITÓRIA","Acústico Brasil","spotify:track:5QhuPTOpUXl9TGEPg3Up7M","null","","null","2022-09-18","",""
"","","","","","","Viva La Vida - Live from Spotify London","Coldplay","Live from Spotify London","spotify:track:6qt0IWS8y6yGR6gNTEmQzj","null","","null","2022-09-18","",""
"","","","","","","Fuzuê - Ao Vivo","TIAGO IORC","Acústico MTV Tiago Iorc","spotify:track:0rOdLG3DGB6JLAZDG92dSa","null","","null","2022-09-18","",""
"","","","","","","Hymn for the Weekend","Coldplay","A Head Full of Dreams","spotify:track:3RiPr603aXAoi4GHyXx0uy","null","","null","2022-09-18","",""
"","","","","","","Fix You","Coldplay","X&Y","spotify:track:7LVHVU3tWfcxj5aiPFEW4Q","null","","null","2022-09-18","",""
"","","","","","","Sparks","Coldplay","Parachutes","spotify:track:7D0RhFcb3CrfPuTJ0obrod","null","","null","2022-09-18","",""
"","","","","","","Bones","Imagine Dragons","Mercury - Acts 1 & 2","spotify:track:54ipXppHLA8U4yqpOFTUhr","null","","null","2022-09-18","",""
"","","","","","","Wrecked","Imagine Dragons","Mercury - Acts 1 & 2","spotify:track:6TEftSkmWdTm1EpThnwqh6","null","","null","2022-09-18","",""
"","","","","","","Whatever It Takes","Imagine Dragons","Evolve","spotify:track:73NbHgUZ51H65Bfo2HFKUi","null","","null","2022-09-18","",""
"","","","","","","Love","Imagine Dragons","Origins","spotify:track:5d41vXH0zvpwUrHrmqKqDc","null","","null","2022-09-18","",""
"","","","","","","Thunder / Young Dumb & Broke (with Khalid) - Medley","Imagine Dragons","Thunder / Young Dumb & Broke (with Khalid)","spotify:track:7ER7vcy7u2ajg5IV45WBFw","null","","null","2022-09-18","",""
"","","","","","","Paradise","Coldplay","Mylo Xyloto","spotify:track:6nek1Nin9q48AVZcWs9e9D","null","","null","2022-09-18","",""
"","","","","","","Yellow","Coldplay","Parachutes","spotify:track:3AJwUDP919kvQ9QcozQPxg","null","","null","2022-09-18","",""
"","","","","","","Magic","Coldplay","Ghost Stories","spotify:track:23khhseCLQqVMCIT1WMAns","null","","null","2022-09-18","",""
"","","","","","","Champion Of The World","Coldplay","Everyday Life","spotify:track:6mf7BNgXs8JipPr2QILnyN","null","","null","2022-09-18","",""
"","","","","","","Politik","Coldplay","A Rush of Blood to the Head","spotify:track:0u35Dpz37TY2M2j20RUdMf","null","","null","2022-09-18","",""
"","","","","","","Old Friends","Coldplay","Everyday Life","spotify:track:3E3zYgQul8EaJioNvD2tv9","null","","null","2022-09-18","",""
"","","","","","","Pintor do Mundo","Quebrando Correntes","Louvores de Adoraçao: Músicas Evangélicas para Orar e Músicas Gospel Mais Tocadas","spotify:track:36udls6gQ8ACRFo962hysW","null","","null","2022-09-18","",""
"","","","","","","Grandes Coisas","Quebrando Correntes","Louvores de Adoraçao: Músicas Evangélicas para Orar e Músicas Gospel Mais Tocadas","spotify:track:45a5qkf7nRgcpf4KUmudU1","null","","null","2022-09-18","",""
"","","","","","","Que Se Abram Os Céus","Quebrando Correntes","Louvores de Adoraçao: Músicas Evangélicas para Orar e Músicas Gospel Mais Tocadas","spotify:track:7h7VWdp4VQaJlnhiJjO6x4","null","","null","2022-09-18","",""
"","","","","","","Eu Me Rendo","Quebrando Correntes","Louvores de Adoraçao: Músicas Evangélicas para Orar e Músicas Gospel Mais Tocadas","spotify:track:0g7VLrpcVSVuVBZ1A5YIYV","null","","null","2022-09-18","",""
"","","","","","","Acende um Fogo","Quebrando Correntes","Louvores de Adoraçao: Músicas Evangélicas para Orar e Músicas Gospel Mais Tocadas","spotify:track:1G7yB6qMrh2WMR27JoerTl","null","","null","2022-09-18","",""
"","","","","","","Partilhar","Rubel","Partilhar","spotify:track:1PQRwFvNM7xV65bIkHmDtx","null","","null","2022-09-18","",""
"","","","","","","A Vida É Boa Com Você - Voz E Violão","Bryan Behr","Simples","spotify:track:7w36CnYumoRl1ryZOWsJnk","null","","null","2022-09-18","",""
"","","","","","","Da Cor Do Girassol - Voz E Violão","Bryan Behr","Simples","spotify:track:7cr32pPRfoWbeti4qGHxA7","null","","null","2022-09-18","",""
"","","","","","","Sign of the Times","Harry Styles","Harry Styles","spotify:track:5Ohxk2dO5COHF1krpoPigN","null","","null","2022-09-18","",""
"","","","","","","te procuro","Nina Fernandes","amor é fuga: fuja","spotify:track:6jd296Iqly0hU02QDJKFfi","null","","null","2022-09-18","",""
"","","","","","","A Encomenda da Minha Vida","MAR ABERTO","A Encomenda da Minha Vida","spotify:track:4hYcZfeUkOw4GoV5APKMdV","null","","null","2022-09-18","",""
"null","","","","","","","","","","null","spotify:local:Nico+%26+Vinz:Nico+%26+Vinz:Nico+%26+Vinz+-+Am+I+Wrong+%5BOfficial+Music+Video%5D:304","","2022-09-18","",""
"","","","","","","Amor e Fé - Acústico","Hungria Hip Hop","Cheiro do Mato","spotify:track:4XcWXKMKp53c8OU3HHlxgL","null","","null","2022-09-18","",""
"","","","","","","Velha Infância - Acústico","OUTROEU","Ensaio Acústico","spotify:track:2mGLhWWDAy7EnDz8wW3xdY","null","","null","2022-09-18","",""
"","","","","","","Dia Especial","TIAGO IORC","Dia Especial","spotify:track:1fRKUO6PvzxNbwjzp51TW5","null","","null","2022-09-18","",""
"","","","","","","Simples e Romântico","Nicolas Germano","Simples e Romântico","spotify:track:7dAbpCdKHAPNONpwGTmGzC","null","","null","2022-09-18","",""
"","","","","","","Hall of Fame","The Script","#3 Deluxe Version","spotify:track:0FB5ILDICqwK6xj7W1RP9u","null","","null","2022-09-18","",""
"","","","","","","In The Stars","Benson Boone","In The Stars","spotify:track:1ei3hzQmrgealgRKFxIcWn","null","","null","2022-09-18","",""
"","","","","","","Seja Sol","OS FALCÕES","Chapada Diamantina","spotify:track:1W8CdTHwdAbYv4EERZbLGJ","null","","null","2022-09-18","",""
"","","","","","","Era a Mão de Deus","Kailane Frauches","Era a Mão de Deus","spotify:track:6NthrrYa3aijH4HTnWwW1L","null","","null","2022-09-18","",""
"","","","","","","as coisas tão mais lindas","ANAVITÓRIA","N","spotify:track:2qvSChyYgm8ybTncALA4pD","null","","null","2022-09-18","",""
"","","","","","","Astronaut In The Ocean - Alok Remix","Masked Wolf","Astronaut In The Ocean","spotify:track:1yX6sh2TkrT5hsXodo7aS6","null","","null","2022-09-18","",""
"","","","","","","Believer","Imagine Dragons","Evolve","spotify:track:0pqnGHJpmpxLKifKRmU6WP","null","","null","2022-09-18","",""
"","","","","","","Memories","Maroon 5","Memories","spotify:track:2b8fOow8UzyDFAE27YhOZM","null","","null","2022-09-18","",""
"","","","","","","Dance Monkey","Tones And I","Dance Monkey","spotify:track:1rgnBhdG2JDFTbYkYRZAku","null","","null","2022-09-18","",""
"","","","","","","Here's Your Perfect - Acoustic","Jamie Miller","Here's Your Perfect","spotify:track:5bTxvPSxViGxFfcawiCH0U","null","","null","2022-09-18","",""
"","","","","","","Aonde Quer Que Eu Vá","Os Paralamas Do Sucesso","Arquivo II 1991 - 2000","spotify:track:0NFVg74sSsdU1gNc9xfpIO","null","","null","2022-09-18","",""
"","","","","","","FRIENDS","Marshmello","FRIENDS","spotify:track:08bNPGLD8AhKpnnERrAc6G","null","","null","2022-09-18","",""
"","","","","","","Alone","Marshmello","Alone","spotify:track:3MEYFivt6bilQ9q9mFWZ4g","null","","null","2022-09-18","",""
"","","","","","","Ocean Eyes - GOLDHOUSE Remix","Billie Eilish","Ocean Eyes","spotify:track:1JbuC7uZm0P1PyX7N7gDEM","null","","null","2022-09-18","",""
"","","","","","","Happier","Marshmello","Happier","spotify:track:2dpaYNEQHiRxtZbfNsse99","null","","null","2022-09-18","",""
"","","","","","","Perfect","Ed Sheeran","÷","spotify:track:0tgVpDi06FyKpA1z0VMD4v","null","","null","2022-09-18","",""
"","","","","","","All of Me","John Legend","Love In The Future (Expanded Edition)","spotify:track:3U4isOIWM3VvDubwSI3y7a","null","","null","2022-09-18","",""
"","","","","","","A Thousand Years","Christina Perri","A Thousand Years","spotify:track:6lanRgr6wXibZr8KgzXxBl","null","","null","2022-09-18","",""
"","","","","","","Lay Me Down","Sam Smith","In The Lonely Hour","spotify:track:74sb4Gib0cL3TQeCjYF8vh","null","","null","2022-09-18","",""
"","","","","","","Be Alright","Dean Lewis","Be Alright","spotify:track:3EPXxR3ImUwfayaurPi3cm","null","","null","2022-09-18","",""
"","","","","","","Love Yourself","Justin Bieber","Purpose","spotify:track:50kpGaPAhYJ3sGmk6vplg0","null","","null","2022-09-18","",""
"","","","","","","Infinity","Jaymes Young","Feel Something","spotify:track:1SOClUWhOi8vHZYMz3GluK","null","","null","2022-09-18","",""
"","","","","","","Please Keep Loving Me","James TW","Please Keep Loving Me","spotify:track:78zUxUPvONPgMIt46q5be6","null","","null","2022-09-18","",""
"","","","","","","Something Just Like This","The Chainsmokers","Memories...Do Not Open","spotify:track:6RUKPb4LETWmmr3iAEQktW","null","","null","2022-09-18","",""
"","","","","","","Imagination","Shawn Mendes","Handwritten","spotify:track:21TcDbGosp7w9YhTjOszgA","null","","null","2022-09-18","",""
"","","","","","","Just the Way You Are","Bruno Mars","Doo-Wops & Hooligans","spotify:track:47Slg6LuqLaX0VodpSCvPt","null","","null","2022-09-18","",""
"","","","","","","Deus é Perfeito","MC Joãozinho VT","Deus é Perfeito","spotify:track:1XSizleVSyq7aT3ntXCcvO","null","","null","2022-09-18","",""
"","","","","","","Planos de Deus","MC Marks","Planos de Deus","spotify:track:031aulAWRSDZ41EknWQrXb","null","","null","2022-09-18","",""
"","","","","","","Muita Fé","Mc Lipi","Muita Fé","spotify:track:0PygjXE4X5Q37fP96IUVh5","null","","null","2022-09-18","",""
"","","","","","","Tudo É Fase","Mc Lele JP","Tudo É Fase","spotify:track:0wxG8UbGsvK7ks3jPC0p6D","null","","null","2022-09-18","",""
"","","","","","","Dias de Luta","MC Paulin da Capital","Dias de Luta","spotify:track:0F6M9v01qES3KJv6B1TUQ7","null","","null","2022-09-18","",""
"","","","","","","Deus é por nós","MC Marks","Deus é por nós","spotify:track:6jcGoHrqfRW6fI2I6xtwBQ","null","","null","2022-09-18","",""
"","","","","","","Oceans (Where Feet May Fail)","Hillsong UNITED","Zion","spotify:track:5SDcksP8En1l6RtTY1wzHc","null","","null","2022-09-19","",""
"null","Os mitos e os símbolos da Independência","Café da Manhã","spotify:episode:0wCnYKENcrOHaZ9Ho8bhrD","My playlist #5","2022-09-07","","","","","","","null","2022-09-07","null","0"
"","","","","...","2022-08-31","A Vida É Boa Com Você - Voz E Violão","Bryan Behr","Simples","spotify:track:7w36CnYumoRl1ryZOWsJnk","null","","null","2022-08-26","null","0"
"","","","","","","Trem-Bala","Ana Vilela","Trem-Bala","spotify:track:05QeyKGAn4TZrv41tMiD1A","null","","null","2022-08-26","",""
"","","","","","","Partilhar","Rubel","Partilhar","spotify:track:1PQRwFvNM7xV65bIkHmDtx","null","","null","2022-08-26","",""
"","","","","","","Ai que Saudade D'Ocê - Sessions","Mariana Nolasco","Mariana Nolasco Sessions 2","spotify:track:3jLkEBt841U8Nbca03XD0q","null","","null","2022-08-26","",""
"","","","","","","Lugar Ao Sol","Sandy","Lugar Ao Sol","spotify:track:3EY2I6zWuJjZai4G7Bcmzx","null","","null","2022-08-26","",""
"","","","","","","Home","Gabrielle Aplin","Home","spotify:track:3X01VeoR0GckfiXlFRrJmF","null","","null","2022-08-26","",""
"","","","","","","Parece Pressa","Vicka","De Cabeça Pra Baixo","spotify:track:5Z1GGWmnoPdHGelvM99vgO","null","","null","2022-08-26","",""
"","","","","","","A Encomenda da Minha Vida","MAR ABERTO","A Encomenda da Minha Vida","spotify:track:4hYcZfeUkOw4GoV5APKMdV","null","","null","2022-08-26","",""
"","","","","","","Sim","Nando Reis","Sim","spotify:track:1CDItzs1Ud0u9PDKdJgrio","null","","null","2022-08-26","",""
"","","","","","","Cabelo De Anjo","Melim","Eu Feat. Você","spotify:track:4QWsMXZ60waQmBBduGM2ci","null","","null","2022-08-26","",""
"","","","","","","Quando Fui Seu Par","Jaffar Bambirra","Quando Fui Seu Par","spotify:track:7zp5QUrEGqQXDAwwFsk7Ku","null","","null","2022-08-26","",""
"","","","","","","não há voz que alcance","Bryan Behr","Todas as coisas do coração","spotify:track:1KFe4uS0OzHyMfSacZUgEI","null","","null","2022-08-26","",""
"","","","","","","Casca do Ovo","Paulo Novaes","Minha Cabeça","spotify:track:7lGd2jgfzRvEDXOZ7rqGoS","null","","null","2022-08-26","",""
"","","","","","","Simples e Romântico","Nicolas Germano","Simples e Romântico","spotify:track:7dAbpCdKHAPNONpwGTmGzC","null","","null","2022-08-26","",""
"","","","","","","Certeza - Acústico","Mariana Nolasco","Certeza","spotify:track:1GK98aTl2dzvvHqpFw0euo","null","","null","2022-08-26","",""
"","","","","","","Pra Te Iluminar","David Mour","Pra Te Iluminar","spotify:track:0cchF6GS8r28iyHrCdsEJa","null","","null","2022-08-26","",""
"","","","","","","Be Here Now","Gustavo Bertoni","Be Here Now","spotify:track:04NQ1q92DRbxWq6lhpVVDQ","null","","null","2022-08-26","",""
"","","","","","","Era uma Vez","Kell Smith","Girassol","spotify:track:16v1xv9QCx1kGXl6fJvTIz","null","","null","2022-08-26","",""
"","","","","","","This Is Love","Tom Marx","This Is Love","spotify:track:4svyWPcXznHkdtWspiKJaI","null","","null","2022-08-26","",""
"","","","","","","Cafuné","Pedro Salomão","Cafuné","spotify:track:7zjKBYb0C2NxGWLBmrveQl","null","","null","2022-08-26","",""
"","","","","","","Abraço","Nós em Um","Abraço","spotify:track:7y4puTp3k9X5jUxxlko0Pd","null","","null","2022-08-26","",""
"","","","","","","Até Aprender","Anna Pêgo","Até Aprender","spotify:track:1xHkiApXo80f6mFx5m1j0R","null","","null","2022-08-26","",""
"","","","","","","Dia de Sorte","Mariana Nolasco","UM SÓ","spotify:track:0bJ5Pa8GqcyC4PNYcHQDeN","null","","null","2022-08-26","",""
"","","","","","","Sign of the Times","Harry Styles","Harry Styles","spotify:track:5Ohxk2dO5COHF1krpoPigN","null","","null","2022-08-26","",""
"","","","","","","Nuvens - Acústico","Gabriel Gonti","Nuvens (Acústico)","spotify:track:29gNG2pGiEK0ygQIDiWNyo","null","","null","2022-08-26","",""
"","","","","","","Old Ghosts, New Skin","Gustavo Bertoni","Old Ghosts, New Skin","spotify:track:1heAGo9N7qk85pzg7obUW8","null","","null","2022-08-26","",""
"","","","","","","(Tá)","Estevão Queiroga","(Tá)","spotify:track:1hjqF86jqqXVc9FzmoHFrK","null","","null","2022-08-26","",""
"","","","","","","Nossa Dança","Flavio Ferrari","Nossa Dança","spotify:track:6OpsskOwFTW8S2j0di6bRX","null","","null","2022-08-26","",""
"","","","","","","Por um Triz","Luamarte","Por um Triz","spotify:track:5BtnfpdkVttGGSUUw3VjtY","null","","null","2022-08-26","",""
"","","","","","","Lariar","Jeferson Pillar","Lariar","spotify:track:0QR8GS6CboYwlUV2RDAY2S","null","","null","2022-08-26","",""
"","","","","","","Ai de Mim","OUTROEU","OutroEu","spotify:track:5df99H7yd4phkyAR9feLdf","null","","null","2022-08-26","",""
"","","","","","","te procuro","Nina Fernandes","amor é fuga: fuja","spotify:track:6jd296Iqly0hU02QDJKFfi","null","","null","2022-08-26","",""
"","","","","","","Ímpar","Melim","Amores E Flores","spotify:track:3vXKSy1vWDvl6DeKUxxpaG","null","","null","2022-08-26","",""
"","","","","","","Apartamento 19","Roberta Spitaletti","Apartamento 19","spotify:track:4l7wuBa55vBeYZfuqLQGeS","null","","null","2022-08-26","",""
"","","","","","","Se Perder: Som das Estradas - Sul","Lucas Mayer","Se Perder: Som das Estradas - Sul","spotify:track:2wPaBZBh6zcJsxPFyGV2gm","null","","null","2022-08-26","",""
"","","","","","","A Volta Que o Mundo Deu","Paulo Nazareth","A Volta Que o Mundo Deu","spotify:track:3SMrsBgG2wiOWQDm9OKX4O","null","","null","2022-08-26","",""
"","","","","","","Tolo","De Maria","De Maria","spotify:track:0GoJvmCZnwFJomZGzxQWyT","null","","null","2022-08-26","",""
"","","","","","","Slowmotion Cameraman","Leo Quintella","Slowmotion Cameraman","spotify:track:6nAJoXxWKSp7OsE10n3pOo","null","","null","2022-08-26","",""
"","","","","","","A Vida É Bem Melhor a Dois","Davi Shamá","Shamá","spotify:track:2W4nJOEK7Hpk5phS6iNGIh","null","","null","2022-08-26","",""
"","","","","","","Lugar Comum","Tiago Nacarato","Lugar Comum","spotify:track:3u2HKohMV6GXsZ8EncTNBv","null","","null","2022-08-26","",""
"","","","","","","Sei o Que Sou","Duda In The Sky","Sei o Que Sou","spotify:track:308C4MSUPmE5iMTIzahguG","null","","null","2022-08-26","",""
"","","","","","","O amor do mundo inteiro","Chapéu de Palha","O amor do mundo inteiro","spotify:track:4kv4NLf1F5KXAbcT1bKnim","null","","null","2022-08-26","",""
"","","","","","","Recomeço","Lucas Felix","Recomeço","spotify:track:7pyj2l80Wwz3LnAstQK1dE","null","","null","2022-08-26","",""
"","","","","","","Space & Time","Rafael Witt","Space & Time","spotify:track:0UF2tfwzIgYT1nw8EEoPkd","null","","null","2022-08-26","",""
"","","","","","","Para Brilhar Outra Vez - Acústico","Jay Horsth","Para Brilhar Outra Vez","spotify:track:2N35dDVeOlWbmA40Q1ZCIE","null","","null","2022-08-26","",""
"","","","","","","Ribanceira","Chico Chico","Ribanceira","spotify:track:4VBNM49iuUc3JlXNtBPNbn","null","","null","2022-08-26","",""
"","","","","","","Lilases","Liah Soares","Lilases","spotify:track:2X0JqbvlC5GnBka9EolWih","null","","null","2022-08-26","",""
